Invoice Date,Invoice Number,Customer Name,Sales person,Item Name,Quantity,Item Price,SubTotal,Discount Amount,Item Tax Amount,Item.CF.Cost,Invoice Status,Purchase Rate,Sales Sub Total,Cost Sub Total,Net Sales
11/1/2022,INV-203425,Prairie Wide Surveillance Inc.,Andrew,GX-GPS-SERVICE,2,123,123,0,123,,Closed,123,123,123,123
11/1/2022,INV-203428,CITY LOCKSMITH LOCK & KEY,Andrew,GX-GPS-SERVICE,8,123,144,0,123,,Closed,123,123,123,123
11/1/2022,INV-203431,INTERNET PAPINEAU,Andrew,,1,123,179.1,0,123,,Closed,123,123,123,123
11/1/2022,INV-203431,INTERNET PAPINEAU,Andrew,FREE SHIPPING,1,123,179.1,0,123,19.59,Closed,123,123,123,123
11/1/2022,INV-203431,INTERNET PAPINEAU,Andrew,NV728F-IR4,1,123,179.1,0,123,,Closed,123,123,123,123
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Andrew,,1,123,172.44,0,123,,Closed,123,123,123,123
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Andrew,FREE SHIPPING,1,123,172.44,0,123,,Closed,123,123,123,123
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Andrew,GX-HT-BK-JB81X,3,123,172.44,0,123,,Closed,123,123,123,123
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Andrew,GX-HT-XHD715F-28,3,123,172.44,0,123,,Closed,123,123,123,123
11/2/2022,INV-203442,KUNSTEN TECHNOLOGIES INC.,Andrew,EEE,1,123,29.49,0,123,,Closed,123,123,123,123
11/2/2022,INV-203442,KUNSTEN TECHNOLOGIES INC.,Andrew,GX-HT-XHD725F-28,1,123,29.49,0,123,,Closed,123,123,123,123
11/2/2022,INV-203445,VAN COMMUNICATIONS,Andrew,,1,123,280.1,0,123,,Closed,123,123,123,123
