Invoice Date,Invoice Number,Customer Name,Sales person,Item Name,Quantity,Item Price,SubTotal,Discount Amount,Item Tax Amount,Item.CF.Cost,Invoice Status
11/1/2022,INV-203423,W.R. BRIGHTMAN&SON LTD,Bob,GX-GPS-SERVICE,2,123,456,0,4.68,,Closed
11/1/2022,INV-203423,W.R. BRIGHTMAN&SON LTD,Bob,,1,123,456,0,0,,Closed
11/1/2022,INV-203424,SKYLINE MICRO SYSTEMS INC,Bob,GX-GPS-SERVICE,1,123,456,0,0.9,,Closed
11/1/2022,INV-203424,SKYLINE MICRO SYSTEMS INC,Bob,,1,123,456,0,0,,Closed
11/1/2022,INV-203425,Prairie Wide Surveillance Inc.,Bob,GX-GPS-SERVICE,2,123,456,0,1.8,,Closed
11/1/2022,INV-203426,PROTECH TECHNICAL SOLUTIONS,Bob,GX-GPS-SERVICE,1,123,456,0,2.34,,Void
11/1/2022,INV-203427,COMPUTER DISTRIBUT.OF CANADA,Bob,GX-GPS-SERVICE,2,123,456,0,1.8,,Closed
11/1/2022,INV-203428,CITY LOCKSMITH LOCK & KEY,Bob,GX-GPS-SERVICE,8,123,456,0,18.72,,Closed
11/1/2022,INV-203429,NTEX-PC,Bob,NVR8832R,1,123,456,0,134.94,,Closed
11/1/2022,INV-203429,NTEX-PC,Bob,NV744F-IR28,2,123,456,0,28.6,,Closed
11/1/2022,INV-203429,NTEX-PC,Bob,GX-POE-SW24P-2G-240,3,123,456,0,155.61,,Closed
11/1/2022,INV-203429,NTEX-PC,Bob,FREE SHIPPING,1,123,456,0,0,49.72,Closed
11/1/2022,INV-203429,NTEX-PC,Bob,,1,123,456,0,-29.06,,Closed
11/1/2022,INV-203429,NTEX-PC,Bob,,1,123,456,0,0,,Closed
11/1/2022,INV-203430,SYN-POWERON COMPUTER SYSTEMS,Bob,GX744MFS-IR36,4,123,456,0,64.48,,Closed
11/1/2022,INV-203430,SYN-POWERON COMPUTER SYSTEMS,Bob,FREE SHIPPING,1,123,456,0,0,,Closed
11/1/2022,INV-203430,SYN-POWERON COMPUTER SYSTEMS,Bob,,1,123,456,0,0,,Closed
11/1/2022,INV-203431,INTERNET PAPINEAU,Bob,NV728F-IR4,1,123,456,0,9.95,,Closed
11/1/2022,INV-203431,INTERNET PAPINEAU,Bob,,1,123,456,0,-0.99,,Closed
11/1/2022,INV-203431,INTERNET PAPINEAU,Bob,FREE SHIPPING,1,123,456,0,0,19.59,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,GX-PKG-U-22,1,123,456,108.99,70.07,,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,GX-HT-XVR8508K-AI,1,123,456,0,0,,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,HDD-SG-SK4TB,1,123,456,0,7.15,,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,GX-HT-XHD715F-28,6,123,456,0,0,,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,GX-HT-BK-JB81X,6,123,456,0,9.35,,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,EEE,8,123,456,0,0.52,,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,Shipping Charges,1,123,456,0,2.99,15.87,Closed
11/1/2022,INV-203432,LOCKSHOP LTD,Bob,VIP Discount,1,123,456,0,-1.04,,Closed
11/1/2022,INV-203433,INNOVATIVE DESIGN SYSTEMS INC,Bob,GX-HT-XHD715FB-28,6,123,456,0,35.09,,Closed
11/1/2022,INV-203433,INNOVATIVE DESIGN SYSTEMS INC,Bob,GX-HT-BK-WM09DB,6,123,456,0,10.92,,Closed
11/1/2022,INV-203433,INNOVATIVE DESIGN SYSTEMS INC,Bob,EEE,6,123,456,0,0.39,,Closed
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Bob,GX-HT-XHD715F-28,3,123,456,0,17.55,,Closed
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Bob,GX-HT-BK-JB81X,3,123,456,0,4.67,,Closed
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Bob,FREE SHIPPING,1,123,456,0,0,,Closed
11/1/2022,INV-203434,KUNSTEN TECHNOLOGIES INC.,Bob,,1,123,456,0,0,,Closed
11/1/2022,INV-203435,TD SYNNEX Canada ULC,Bob,GX-HUM8441-E1,25,123,456,0,958.75,,Open
11/1/2022,INV-203435,TD SYNNEX Canada ULC,Bob,IPC-HUM8441-L3,25,123,456,0,588.25,,Open
11/1/2022,INV-203435,TD SYNNEX Canada ULC,Bob,Shipping Charges,1,123,456,0,1.56,23.63,Open
11/1/2022,INV-203436,SAFE COMPUTER SOLUTIONS INC,Bob,NV728F-IR28-AI-AD,4,123,456,0,135.19,,Closed
11/1/2022,INV-203436,SAFE COMPUTER SOLUTIONS INC,Bob,DS-1280ZJ-DM21,3,123,456,0,8.58,,Closed
11/1/2022,INV-203436,SAFE COMPUTER SOLUTIONS INC,Bob,VIP Discount,1,123,456,0,-2.6,,Closed
11/1/2022,INV-203436,SAFE COMPUTER SOLUTIONS INC,Bob,EEE,4,123,456,0,0.26,,Closed
11/1/2022,INV-203437,CN CANADA INTERNATIONAL TRADING LTD,Bob,SED-CAB-CAT5EBC-BLK,1,123,456,0,16.77,,Closed
11/1/2022,INV-203438,2322932 ONTARIO INC,Bob,GX-POE-SW24P-2G-240,1,123,456,0,23.15,,Open
11/1/2022,INV-203438,2322932 ONTARIO INC,Bob,GX-CV726A-28,24,123,456,0,187.79,,Open
11/1/2022,INV-203438,2322932 ONTARIO INC,Bob,DS-1280ZJ-DM18,5,123,456,0,4.6,,Open
11/1/2022,INV-203438,2322932 ONTARIO INC,Bob,GX-POE-SW16P-2G-240,3,123,456,0,72.76,,Open
11/1/2022,INV-203439,A.A.PROPERTY MANAGEMENT & ASSOCIATES INC.,Bob,SERVICE-SUPPORT,1,123,456,0,15.6,0,Overdue
11/2/2022,INV-203440,ABTRON AUTOMATION INC,Bob,NV1042-28,1,123,456,0,14.56,,Closed
11/2/2022,INV-203440,ABTRON AUTOMATION INC,Bob,Shipping Charges,1,123,456,0,1.95,13.99,Closed
11/2/2022,INV-203440,ABTRON AUTOMATION INC,Bob,,1,123,456,0,0,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,GX-PKG-Y-13,1,123,456,70.01,45.37,419,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,GX-HT-XVR8504K-AI,1,123,456,0,0,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,HDD-SATA-1TBPUR,1,123,456,0,0,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,GX-SMT-XHD744F-28,4,123,456,0,0,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,DS-1280ZJ-DM18,4,123,456,6,7.02,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,SED-CAB-P-4,1,123,456,0,0.68,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,SED-POWER-5.0,1,123,456,0,2.99,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,EEE,6,123,456,0,0.39,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,SED-CAB-GX3088B,1,123,456,0,11.05,,Closed
11/2/2022,INV-203441,GLOBALVU,Bob,SED-ADP-7088GOO,20,123,456,0,3.87,,Closed
11/2/2022,INV-203442,KUNSTEN TECHNOLOGIES INC.,Bob,GX-HT-XHD725F-28,1,123,456,0,3.77,,Closed
11/2/2022,INV-203442,KUNSTEN TECHNOLOGIES INC.,Bob,EEE,1,123,456,0,0.06,,Closed
11/2/2022,INV-203443,WINBO INTERNATIONAL LTD,Bob,GX-HT-BK-JB81XB,20,123,456,0,26,,Open
11/2/2022,INV-203444,KAMITKO,Bob,SVDN8704Q-P4+1TB,1,123,456,0,0,,Closed
11/2/2022,INV-203445,VAN COMMUNICATIONS,Bob,HDD-SG-SK6TB,1,123,456,0,38.22,,Closed
11/2/2022,INV-203445,VAN COMMUNICATIONS,Bob,Shipping Charges,1,123,456,0,1.95,28.86,Closed
11/2/2022,INV-203445,VAN COMMUNICATIONS,Bob,,1,123,456,0,-3.82,,Closed
11/2/2022,INV-203445,VAN COMMUNICATIONS,Bob,,1,123,456,0,0,,Closed
11/2/2022,INV-203446,VAN COMMUNICATIONS,Bob,VDP-JW868-WIFI,2,123,456,0,36.4,,Closed
11/2/2022,INV-203446,VAN COMMUNICATIONS,Bob,GX-LVA-PUMSD128G-L,2,123,456,0,7.15,,Closed
11/2/2022,INV-203447,VAN COMMUNICATIONS,Bob,GX-HT-NVR5208-P8-AI,1,123,456,54.7,64,0,Open
11/2/2022,INV-203447,VAN COMMUNICATIONS,Bob,HDD-SG-SK2TB,1,123,456,0,14.95,,Open
11/2/2022,INV-203447,VAN COMMUNICATIONS,Bob,GX-HT728A-AI-28,1,123,456,0,22.1,,Open
11/2/2022,INV-203447,VAN COMMUNICATIONS,Bob,GX-HT728A-AI-LED-28AD,1,123,456,0,31.2,,Open
11/2/2022,INV-203447,VAN COMMUNICATIONS,Bob,GX-HTFE866-4K,1,123,456,0,100.1,0,Open
11/2/2022,INV-203447,VAN COMMUNICATIONS,Bob,EEE,5,123,456,0,0.32,,Open
11/2/2022,INV-203448,1950592 ONTARIO INC,Bob,Package,1,123,456,0,167.57,,Closed
11/2/2022,INV-203448,1950592 ONTARIO INC,Bob,GX-HT-NVR8108-P8,1,123,456,0,0,,Closed
11/2/2022,INV-203448,1950592 ONTARIO INC,Bob,HDD-SG-SK2TB,1,123,456,0,0,,Closed
11/2/2022,INV-203448,1950592 ONTARIO INC,Bob,GX-HT728FSL-IR28B,6,123,456,0,0,,Closed
11/2/2022,INV-203448,1950592 ONTARIO INC,Bob,EEE,8,123,456,0,0.52,,Closed
